Core Name,Task Name,Period,WCET,Utilization
CPU_0,T27-Copy1-HC,40,10,0.24579220844888727
CPU_0,T1-Copy2-HC,40,4,0.09901173954546512
CPU_0,T26-Copy2-HC,10,1,0.06337283011306087
CPU_0,T7-Copy3-HC,200,5,0.02546660179628842
CPU_0,T21-Copy2-HC,500,3,0.00500897025086496
CPU_0,T16-Copy2-HC,200,1,0.002402138314969567
CPU_0,T59-LC,50,18,0.3591802910825297
CPU_0,,,,0.8002347795520659
CPU_1,T27-Copy2-HC,40,10,0.24579220844888727
CPU_1,T1-Copy1-HC,40,4,0.09901173954546512
CPU_1,T26-Copy3-HC,10,1,0.06337283011306087
CPU_1,T7-Copy2-HC,200,5,0.02546660179628842
CPU_1,T21-Copy3-HC,500,3,0.00500897025086496
CPU_1,T16-Copy1-HC,200,1,0.002402138314969567
CPU_1,T60-LC,50,16,0.3109415968514946
CPU_1,,,,0.7519960853210308
CPU_2,T27-Copy3-HC,40,10,0.24579220844888727
CPU_2,T11-Copy3-HC,40,4,0.10786072508900386
CPU_2,T9-Copy3-HC,400,23,0.05815887042118225
CPU_2,T19-Copy1-HC,50,1,0.025171845699505962
CPU_2,T3-Copy1-HC,1000,4,0.003975990072956274
CPU_2,T33-LC,100,36,0.3617051307695496
CPU_2,,,,0.8026647705010852
CPU_3,T13-Copy1-HC,1000,227,0.22653068303614177
CPU_3,T11-Copy2-HC,40,4,0.10786072508900386
CPU_3,T6-Copy3-HC,200,14,0.07019513027342998
CPU_3,T2-Copy3-HC,50,1,0.028194847560090608
CPU_3,T30-Copy3-HC,200,1,0.006681371466531101
CPU_3,T5-Copy1-HC,200,1,0.0014073996641759123
CPU_3,T40-LC,200,77,0.38679433327681023
CPU_3,,,,0.8276644903661834
CPU_4,T13-Copy2-HC,1000,227,0.22653068303614177
CPU_4,T11-Copy1-HC,40,4,0.10786072508900386
CPU_4,T26-Copy1-HC,10,1,0.06337283011306087
CPU_4,T14-Copy2-HC,1000,34,0.0344390574599848
CPU_4,T30-Copy2-HC,200,1,0.006681371466531101
CPU_4,T16-Copy3-HC,200,1,0.002402138314969567
CPU_4,T47-LC,100,27,0.27288863624608606
CPU_4,T50-LC,50,1,0.00469869574470172
CPU_4,,,,0.7188741374704797
CPU_5,T13-Copy3-HC,1000,227,0.22653068303614177
CPU_5,T20-Copy3-HC,1000,119,0.11901567334762249
CPU_5,T9-Copy1-HC,400,23,0.05815887042118225
CPU_5,T2-Copy2-HC,50,1,0.028194847560090608
CPU_5,T30-Copy1-HC,200,1,0.006681371466531101
CPU_5,T10-Copy3-HC,1000,3,0.002720413045292247
CPU_5,T31-LC,100,23,0.2308623118696822
CPU_5,T55-LC,500,30,0.060606386505720033
CPU_5,,,,0.7327705572522627
CPU_6,T12-Copy1-HC,200,43,0.21404201664255673
CPU_6,T20-Copy2-HC,1000,119,0.11901567334762249
CPU_6,T6-Copy1-HC,200,14,0.07019513027342998
CPU_6,T2-Copy1-HC,50,1,0.028194847560090608
CPU_6,T25-Copy3-HC,40,1,0.01567211245680807
CPU_6,T49-LC,40,5,0.11806050517437239
CPU_6,T46-LC,40,5,0.11797218179392965
CPU_6,T32-LC,10,1,0.058004957237468346
CPU_6,,,,0.7411574244862782
CPU_7,T12-Copy2-HC,200,43,0.21404201664255673
CPU_7,T20-Copy1-HC,1000,119,0.11901567334762249
CPU_7,T6-Copy2-HC,200,14,0.07019513027342998
CPU_7,T14-Copy3-HC,1000,34,0.0344390574599848
CPU_7,T3-Copy2-HC,1000,4,0.003975990072956274
CPU_7,T56-LC,200,46,0.22851200496038593
CPU_7,T38-LC,1000,61,0.060879773909044754
CPU_7,,,,0.731059646665981
CPU_8,T12-Copy3-HC,200,43,0.21404201664255673
CPU_8,T8-Copy3-HC,200,27,0.13290126934214838
CPU_8,T9-Copy2-HC,400,23,0.05815887042118225
CPU_8,T7-Copy1-HC,200,5,0.02546660179628842
CPU_8,T25-Copy2-HC,40,1,0.01567211245680807
CPU_8,T41-LC,200,32,0.15772388876314425
CPU_8,T52-LC,500,51,0.10198304869602914
CPU_8,T53-LC,400,17,0.0420055991286159
CPU_8,,,,0.7479534072467731
CPU_9,T15-Copy1-HC,500,83,0.1661292209263614
CPU_9,T8-Copy2-HC,200,27,0.13290126934214838
CPU_9,T28-Copy1-HC,1000,86,0.08632937736664825
CPU_9,T23-Copy2-HC,20,1,0.03637534386170049
CPU_9,T19-Copy2-HC,50,1,0.025171845699505962
CPU_9,T35-LC,40,5,0.13626283089887004
CPU_9,T48-LC,400,47,0.11702211410630925
CPU_9,T43-LC,100,4,0.04311329386429108
CPU_9,,,,0.7433052960658348
CPU_10,T15-Copy2-HC,500,83,0.1661292209263614
CPU_10,T8-Copy1-HC,200,27,0.13290126934214838
CPU_10,T28-Copy2-HC,1000,86,0.08632937736664825
CPU_10,T23-Copy1-HC,20,1,0.03637534386170049
CPU_10,T19-Copy3-HC,50,1,0.025171845699505962
CPU_10,T57-LC,200,31,0.15521541591089671
CPU_10,T39-LC,40,4,0.11047812306068039
CPU_10,T37-LC,20,1,0.03669735338139768
CPU_10,,,,0.7492979495493393
CPU_11,T15-Copy3-HC,500,83,0.1661292209263614
CPU_11,T24-Copy3-HC,100,15,0.14588778171111816
CPU_11,T4-Copy3-HC,10,1,0.07145322181616305
CPU_11,T29-Copy3-HC,400,20,0.04934659750391409
CPU_11,T21-Copy1-HC,500,3,0.00500897025086496
CPU_11,T3-Copy3-HC,1000,4,0.003975990072956274
CPU_11,T58-LC,200,39,0.19322953679997212
CPU_11,T45-LC,40,4,0.09739763813681135
CPU_11,,,,0.7324289572181614
CPU_12,T18-Copy1-HC,20,3,0.1556953267890684
CPU_12,T24-Copy2-HC,100,15,0.14588778171111816
CPU_12,T28-Copy3-HC,1000,86,0.08632937736664825
CPU_12,T23-Copy3-HC,20,1,0.03637534386170049
CPU_12,T17-Copy3-HC,50,1,0.01606100996791267
CPU_12,T5-Copy2-HC,200,1,0.0014073996641759123
CPU_12,T51-LC,50,10,0.2002437761172211
CPU_12,T42-LC,40,3,0.08476050853052408
CPU_12,,,,0.726760524008369
CPU_13,T18-Copy2-HC,20,3,0.1556953267890684
CPU_13,T22-Copy3-HC,1000,146,0.14592627132410296
CPU_13,T4-Copy1-HC,10,1,0.07145322181616305
CPU_13,T29-Copy2-HC,400,20,0.04934659750391409
CPU_13,T17-Copy1-HC,50,1,0.01606100996791267
CPU_13,T10-Copy2-HC,1000,3,0.002720413045292247
CPU_13,T54-LC,50,15,0.29982369149649446
CPU_13,,,,0.7410265319429479
CPU_14,T18-Copy3-HC,20,3,0.1556953267890684
CPU_14,T22-Copy2-HC,1000,146,0.14592627132410296
CPU_14,T4-Copy2-HC,10,1,0.07145322181616305
CPU_14,T29-Copy1-HC,400,20,0.04934659750391409
CPU_14,T17-Copy2-HC,50,1,0.01606100996791267
CPU_14,T10-Copy1-HC,1000,3,0.002720413045292247
CPU_14,T36-LC,1000,289,0.2890182639776371
CPU_14,,,,0.7302211044240905
CPU_15,T22-Copy1-HC,1000,146,0.14592627132410296
CPU_15,T24-Copy1-HC,100,15,0.14588778171111816
CPU_15,T1-Copy3-HC,40,4,0.09901173954546512
CPU_15,T14-Copy1-HC,1000,34,0.0344390574599848
CPU_15,T25-Copy1-HC,40,1,0.01567211245680807
CPU_15,T5-Copy3-HC,200,1,0.0014073996641759123
CPU_15,T34-LC,1000,182,0.1822839817948383
CPU_15,T44-LC,40,4,0.09795599397262356
CPU_15,,,,0.7225843379291168
